SalePrice,Bedrooms,LotArea,LivingArea,GarageArea,Neighborhood
191000,3,7984,1630,436,Gilbert
189500,3,7984,1630,436,Gilbert
176000,3,8029,1456,400,Gilbert
188000,3,8010,1720,400,Gilbert
212000,4,7851,1960,440,Gilbert
216500,4,7851,1960,440,Gilbert
195500,3,10125,1594,434,Gilbert
192000,3,8965,1489,400,Gilbert
213000,4,8396,1986,434,Gilbert
207500,2,5063,1314,626,NridgHt
257500,4,12891,2004,644,Gilbert
184000,3,15384,1490,388,Gilbert
167000,3,9734,1374,400,Gilbert
176000,3,7750,1414,403,Gilbert
222500,3,9505,2035,434,Gilbert
297000,3,10637,1718,826,CollgCr
295493,3,10226,1630,860,CollgCr
332000,3,10816,1720,846,CollgCr
245350,3,10475,1694,776,CollgCr
239900,3,9178,1468,904,CollgCr
248500,3,9345,1615,864,CollgCr
272500,3,11422,1838,524,CollgCr
239000,2,11923,1800,702,CollgCr
198500,2,6762,1208,632,CollgCr
206000,2,6762,1208,632,CollgCr
214000,2,6762,1290,662,CollgCr
200000,2,6762,1290,662,CollgCr
221800,2,10324,1254,810,CollgCr
198900,3,10402,1226,740,CollgCr
187000,2,7360,1222,615,CollgCr
194500,2,7314,1232,632,CollgCr
237000,3,11645,1498,844,CollgCr
173000,3,11646,1422,440,CollgCr
190000,3,8935,1660,493,CollgCr
195000,3,8935,1660,493,CollgCr
227000,3,9808,1573,544,CollgCr
221000,3,12803,1494,530,CollgCr
230000,3,12420,1840,622,CollgCr
231500,3,12435,1792,564,CollgCr
187100,3,16285,1430,605,CollgCr
203000,3,10739,1444,577,CollgCr
206000,3,11273,1347,684,CollgCr
223500,3,11250,1786,608,CollgCr
201000,3,11166,1492,608,CollgCr
230000,3,9742,1795,534,CollgCr
318000,3,10389,1978,850,CollgCr
250000,3,11664,1611,1231,CollgCr
237000,3,9473,2031,577,CollgCr
254750,4,12334,2184,570,CollgCr
272000,3,11423,1601,670,CollgCr
274500,4,11470,2333,650,CollgCr
236500,3,11838,1788,522,CollgCr
261500,3,11885,1872,531,CollgCr
230500,3,10400,2161,570,CollgCr
287000,3,9240,2263,905,CollgCr
282000,3,9240,2263,905,CollgCr
274000,3,9720,1947,725,CollgCr
300000,3,14860,1786,715,CollgCr
255900,4,11250,2290,779,CollgCr
198500,3,8749,1725,550,CollgCr
224900,3,8158,1768,543,CollgCr
237000,3,9548,1829,613,CollgCr
240000,4,10905,2327,596,CollgCr
183000,3,7226,1640,595,CollgCr
206000,3,11250,1870,608,CollgCr
211000,3,11250,1870,608,CollgCr
178000,3,9100,1212,573,CollgCr
136500,1,4435,848,420,CollgCr
143750,1,4435,848,420,CollgCr
144000,1,4435,848,420,CollgCr
140000,1,4435,848,420,CollgCr
145000,1,4426,848,420,CollgCr
232000,3,10635,1668,502,CollgCr
214000,3,9135,1536,532,CollgCr
208500,3,8450,1710,548,CollgCr
213000,3,8400,1484,606,CollgCr
293200,3,10200,1602,810,CollgCr
190000,3,9313,1728,572,CollgCr
186500,3,9750,1445,470,CollgCr
210000,3,8450,1436,484,CollgCr
185900,3,8320,1582,520,CollgCr
179900,3,11049,1234,484,CollgCr
190000,3,8487,1500,570,CollgCr
185500,3,8773,1414,494,CollgCr
173500,3,8633,1476,540,CollgCr
218836,3,11058,1564,814,CollgCr
170000,3,11069,1396,440,CollgCr
189000,3,8199,1456,410,CollgCr
141000,1,4426,848,420,CollgCr
149000,1,4438,848,420,CollgCr
144500,1,4438,848,420,CollgCr
